lsanr,x,y,standort,baulast,bezirk,blindens,bemerkung,locid,mapem
4430,23517307.051629,56503210.199965,Von-Hünefeld-Straße / Butzweilerhofallee / Richard-Byrd-Straße Süd / Adolf-Grimme-Allee,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,nein
4431,23520724.792432,56507646.032077,Von-Hünefeld-Straße / Richard-Byrd-Straße Nord / Ausfahrt Großmarkt,Stadt Köln,Ehrenfeld,nein,---,nein,nein
0435 (229),23483073,56500844,Venloer Straße / B59alt,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
0712 (230),23649455.078561,56392205.153242,Frankfurter Straße / Schubertstraße,StrNRW,Porz,nein,---,nein,nein
4422,23522607.50624,56508517.986668,Alte Escher Straße / Ausfahrt Großmarkt,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4129,23544031.078231,56457970.644105,Venloer Straße / Fuchsstraße / Moschee,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
7114,23677019.287924,56381655.877724,Flughafen / Terminal,privat,Porz,nein,---,nein,nein
4428,23523828.808875,56494399.055012,Hugo-Eckener-Straße / Fitzmauricestraße / Köhlstraße,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
4429,23519975.293098,56501305.374242,Butzweilerhofallee / Rudi-Conin-Straße,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
5223,23576929.8,56470630.6,Riehler Straße / Zoo-Flora,Stadt Köln,Nippes,ja - akustisch+taktil,---,nein,ja
4840,23529312.148376,56483479.844452,Rochusstraße / Margaretastraße,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
0306 (206),23483034.721621,56467971.043904,Lise-Meitner-Ring / Ottostraße,StrNRW,Lindenthal,nein,---,nein,nein
7777,23653346.048973,56388555.887762,Kennedystraße / Joseph-Broicher-Straße,Stadt Köln,Porz,ja - akustisch+taktil,---,nein,nein
4427,23523512.1,56496571.6,Fitzmauricestraße / Käthe-Paulus-Straße,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,nein
3871,23521782,56436525,Dürener Straße / Prälat-van-Acken-Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
9983,23600523,56485804,Clevischer Ring / Hacketäuerstraße,Stadt Köln,Mülheim,ja - akustisch+taktil,---,nein,ja
4147,23524577,56466415,Vogelsanger Straße / Zufahrt Rheinische Stiftung,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
4414,23506700,56498444,Gleisquerung Görlinger-Zentrum,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,nein
445,23493876,56494409,Venloer Straße / Auf dem Paulsacker / Rath-Mengenicher Weg,StrNRW,Ehrenfeld,nein,---,nein,nein
0307 (207),23491285,56466266,Lise-Meitner-Ring / Egelspfad,StrNRW/Stadt Köln,Lindenthal,nein,---,nein,nein
8882,23588525.1,56449502,Gummersbacher Straße / Feuerwache8,Stadt Köln,Kalk,nein,---,nein,nein
9954,23595747.2,56461770.2,Karlsruher Straße / Lidl,Stadt Köln,Mülheim,ja - akustisch+taktil,---,nein,nein
1257,23558841,56457563.3,Kyotostr. / FU.Bildungslandschaft,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,nein
1105,23579093.3,56445954.5,Gotenring / Adolphstraße / Thusneldastraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
8875,23595207.5,56446853.9,Rolshover Straße / Sieversstraße,Stadt Köln,Kalk,ja - akustisch+taktil,---,nein,nein
4030,23519179.6,56486676.8,Mathias-Brüggen-Straße / Mühlenweg,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
3338,23515821.9,56435599.8,Dürener Straße / östlicher Übergang,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3337,23510216.9,56435853.8,Dürener Straße / westlicher Übergang,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
751,23662632,56337131,Frankfurter Str. - B8 / Niederkasseler Straße,StrNRW,Porz,nein,---,nein,nein
9979,23601470.742361,56481306.263975,Markgrafenstraße / Gleisquerung,Stadt Köln,Mülheim,nein,---,nein,nein
1320,23563446,56438662.4,Tel-Aviv-Straße / Abfahrt Severinsbrücke,Stadt Köln,Innenstadt,nein,---,nein,ja
7011,23640923.5,56384942.7,Kaiserstraße / KVB-Betriebshof,Stadt Köln,Porz,ja - akustisch+taktil,---,nein,ja

