lsanr,x,y,standort,baulast,bezirk,blindens,bemerkung,locid,mapem
1190,23582972.803094,56447941.619922,Deutz-Kalker Straße / Gummersbacher Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1191,23579974,56450452,Deutz-Mülheimer Straße / Opladener Straße / Justinianstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1192,23585385.58951,56446743.757412,Deutz-Kalker Straße / Reitweg,Stadt Köln,Innenstadt,ja - akustisch+taktil+LocID,---,ja,ja
1193,23587130.4,56447082,Deutz-Kalker Straße / Betzdorfer Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil+LocID,---,ja,nein
1195,23582042.5,56449866.7,Opladener Straße / Ausfahrt Parkhaus,Stadt Köln,Innenstadt,nein,---,nein,ja
1205,23574846.505395,56466893.960009,Konrad-Adenauer-Ufer / Elsa-Brändstöm-Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1206,23573691.496001,56465510.072146,Konrad-Adenauer-Ufer / Worringer Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1207,23572700.422871,56464269.60479,Konrad-Adenauer-Ufer / Wörthstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1208,23571428.302672,56462270.090244,Konrad-Adenauer-Ufer / Theodor-Heuss-Ring,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1209,23570695.337394,56460979.090245,Konrad-Adenauer-Ufer / Thürmchenswall,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1210,23570118.6,56459687.4,Konrad-Adenauer-Ufer / Dagobertstraße / Kunibertklostergasse,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1211,23569232.60714,56457246.232807,Konrad-Adenauer-Ufer / Machabäerstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1212,23568663.081633,56454684.78253,Konrad-Adenauer-Ufer / Goldgasse,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1214,23568458.182669,56453436.329292,Konrad Adenauer Ufer / Trankgasse,Stadt Köln,Innenstadt,nein,---,nein,ja
1223,23573584.935564,56468792.466376,Riehler Straße / Elsa-Brändström-Straße,Stadt Köln,Innenstadt,nein,---,nein,ja
1224,23571904.906642,56467834.201597,Riehler Straße / Riehler Platz,Stadt Köln,Innenstadt,nein,---,nein,ja
1225,23569769.437517,56466626.303142,Riehler Straße / Reichenspergerplatz,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1226,23567606.965357,56464804.112962,Riehler Straße / Schillingstraße / Sedanstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1227,23566427.617664,56463535.281141,Riehler Straße / Theodor-Heuss-Ring / Ebertplatz Nord,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1228,23566180.4,56462624.8,Turiner Straße / Theodor-Heuss-Ring / Ebertplatz Süd,Stadt Köln,Innenstadt,nein,---,nein,ja
1229,23565923.433251,56461743.656963,Turiner Straße / Thürmchenswall,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1230,23565262.025362,56458768.679103,Turiner Straße / Machabäerstraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1231,23564869.849114,56457836.040119,Turiner Straße / Maximinenstraße / Ursulastraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1232,23562287.138002,56456850.45637,Tunisstraße / Victoriastraße / Ursularstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1234,23562049.023975,56450384.046883,Tunisstraße / Breite Straße / Röhrergasse,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1235,23561865.223523,56449654.059319,Tunisstraße / Glockengasse / Brückenstraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1236,23561578.22972,56448552.032525,Tunisstraße / Streitzeuggasse / Brüderstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1242,23564874.521246,56468400.52558,Neusser Straße / Krefelder Wall / Neusser Platz,Stadt Köln,Innenstadt,nein,---,nein,ja
1243,23565259.403766,56467064.025715,Neusser Straße / Weißenburgstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1244,23565178.206852,56465806.533914,Neusser Straße / Balthasarstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1245,23565004.193534,56463473.137467,Neusser Straße / Ebertplatz Nord,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1246,23564855.393197,56462742.728147,Hansaring / Ebertplatz Süd,Stadt Köln,Innenstadt,nein,---,nein,ja
1247,23565482.087636,56459750.348832,Turiner Straße / Unter Krahnenbäumen,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1249,23565704.183084,56460781.967211,Turiner Straße / Dagobertstraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1255,23561273.691288,56457174.878729,Victoriastraße / Eintrachtstraße / Kardinal-Frings-Straße,Stadt Köln,Innenstadt,nein,---,nein,ja
1256,23560198.244103,56457352.730027,Victoriastraße / Klingelpütz,Stadt Köln,Innenstadt,nein,---,nein,ja
1261,23553510.349476,56452074.362508,Magnusstraße / Friesenwall,Stadt Köln,Innenstadt,nein,---,nein,ja
1262,23554697.978628,56451677.812353,Magnusstraße / Alte Wallgasse / Römergasse,Stadt Köln,Innenstadt,nein,---,nein,ja
1267,23566544.300234,56453099.951629,Am Domhof / Trankgasse,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1272,23561747.563182,56454262.762173,Tunisstraße / Unter Sachsenhausen,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1274,23558065.619454,56455182.085447,Christophstraße / Mohrenstraße / Klingelpütz,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1281,23561762.514172,56453056.390263,Tunisstraße / Komödienstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1284,23558237.956549,56452851.596811,Zeughausstraße / Mohrenstraße / Auf dem Berlich,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1285,23557010.589276,56452640.376875,Magnusstraße / Sankt-Apern-Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1286,23555691.841881,56451806.476659,Magnusstraße / Albertusstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1301,23568796.11092,56445756.751903,Am Leystapel / Heumarkt / Markmansgasse,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1302,23568739.427261,56444388.195527,Am Leystapel / Filzengraben,Stadt Köln,Innenstadt,nein,---,nein,ja
1303,23568611.603382,56442943.483974,Am Leystapel / Große Witschgasse / Schokoladenmuseum,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1304,23568332.447691,56441492.922115,Holzmarkt / Kleine Witschgasse / Severinsbrücke,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1305,23568345.7221,56438523.513179,Holzmarkt / Mechtildisstraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1306,23570031.805766,56434785.606209,Bayenstraße / Dreikönigenstraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1307,23571044.457936,56432178.795916,Am Bayenturm / Ubierring-Nord / Wender TG,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1308,23571331.082648,56431107.469919,Agrippinaufer / Ubierring-Süd,Stadt Köln,Innenstadt,nein,---,nein,ja
1309,23573255,56424845,Agrippinaufer / Gustav-Heinemann-Ufer / Südbrücke,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1315,23566817.675502,56438447.596945,Mechtildisstraße / Im Sionstal,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1321,23561906.756666,56444034.813691,Neuköllner Straße / Agrippastraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1322,23562092.313071,56443307.808313,Neuköllner Straße / Großer Griechenmarkt,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1323,23562381.371714,56442296.414507,Neuköllner Straße / Tel-Aviv-Straße / Blaubach,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1324,23563251.306013,56437386.93765,Ulrichgasse / Ankerstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1325,23562639.693848,56436594.30468,Ulrichgasse / Paulstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1326,23561986.788097,56435721.299346,Ulrichgasse / Kartäusergasse / Vor den Siebenburgen,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1327,23561254.327669,56434270.162118,Ulrichgasse / Kartäuserwall / Wender Sachsenring,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1328,23560963.913843,56433649.577026,Ulrichgasse / Sachsenring / Ulrepforte,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1330,23560661.226161,56432432.112855,Vorgebirgstraße / Lothringer Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1332,23559887.476644,56430433.305248,Vorgebirgstraße / Volksgartenstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1333,23558951.016938,56428148.930181,Vorgebirgstraße / Bonner Wall,Stadt Köln,Innenstadt,nein,---,nein,ja
1341,23552936.390589,56441829.172535,Hohenstaufenring / Zülpicher Platz / Jahnstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1342,23553507.648304,56439760.626277,Barbarossaplatz / Hohenstaufenring / Roonstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1343,23554171.711303,56438767.992829,Barbarossaplatz-Süd / Salierring / Pfälzer Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1344,23555879.520751,56437162.531674,Salierring / Am Weidenbach / Am Duffesbach,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1345,23556977.250692,56436253.320723,Salierring / Eifelstraße / Waisenhausgasse,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1346,23563777.503569,56431578.873774,Karolingerring / Brunostraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1347,23567452.081576,56430699.922199,Ubierring / Alteburger Straße / Chlodwigplatz,Stadt Köln,Innenstadt,nein,---,nein,ja
1348,23568586.938336,56431097.032328,Ubierring / Mainzer Straße / An der Bottmühle,Stadt Köln,Innenstadt,nein,---,nein,ja
1351,23566171.076935,56444222.529888,Mühlenbach / Filzengraben / An der Malzmühle,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1352,23563867,56443396.7,Mühlenbach / Waidmarkt / Blaubach,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1353,23560464.916011,56441183.637485,Rothgerberbach / Perlengraben / Blaubach,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1354,23557504.366578,56440699.711748,Rothgerberbach /  Am Weidenbach / Griechenpforte,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1355,23554570.51786,56440232.709381,Neue Weyerstraße / Pantaleonswall,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1363,23566923.2,56446084.1,Heumarkt / Pipinstraße / Am Malzbüchel,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1387,23551919.222647,56440930.959709,Zülpicher Straße / Zülpicher Platz / Roonstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1388,23549728.401099,56439075.856552,Zülpicher Straße. / Moselstraße / Kyffhäuserstraße / Dasselstraße,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1394,23566723.303682,56425058.998414,Bonner Straße / Bonner Wall / Alteburger Wall,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1398,23572488.325129,56427159.944357,Agrippinaufer / Oberländer Wall,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1401,23560150.160729,56468882.999004,Innere Kanalstraße / Krefelder Straße / Merheimer Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1402,23561482.6,56465030.9,Krefelder Str. 59,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1404,23561952.319985,56462736.801063,Krefelder Straße / Maybachstraße / Lübecker Straße,Stadt Köln,Innenstadt,nein,---,nein,ja
1405,23558773.874034,56468061.459048,Innere Kanalstraße / Escher Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1407,23553665.122617,56456074.617774,Kaiser-Wilhelm-Ring / Goebenstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1408,23555199.871072,56457618.183251,Hansaring /  Hermann-Becker-Straße / Kaiser-Wilhelm-Ring,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1409,23556473.748559,56458455.907252,Hansaring / Von-Werth-Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1410,23563387.194405,56462367.206653,Hansaring / Lübecker Straße,Stadt Köln,Innenstadt,nein,---,nein,nein
1411,23562161.996215,56461766.658586,Hansaring / Krefelder Straße,Stadt Köln,Innenstadt,nein,---,nein,nein
1412,23560699.714704,56460995.64435,Hansaring / Ritterstraße / Schule,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1413,23558765.705882,56459943.63641,Hansaring / Bremer Straße / Adolf-Fischer-Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1414,23557028.646082,56458813.56661,Hansaring / Am Kümpchenshof,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1415,23554740.4,56456803.3,Kaiser-Wilhelm-Ring / Gladbacher Straße / Christophstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1430,23556247.698716,56455925.491238,Christophstraße / Probsteigasse / Gereonskloster,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1431,23555450.852916,56456335.15914,Christophstraße / Von-Werth-Straße,Stadt Köln,Innenstadt,nein,---,nein,ja
1432,23553140.922419,56457922.114728,Gladbacher Straße / Spichernstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1433,23551408.264454,56459113.342994,Gladbacher Straße / Erftstraße / Schule,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1434,23549860.127592,56460166.980606,Subbelrather Straße / Herkulesstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1448,23553397.436731,56458914.314839,Erftstraße / Im Mediapark,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1450,23557658.703534,56457895.35822,Kyotostraße / Gereonswall / Am Kümpchenshof,Stadt Köln,Innenstadt,nein,---,nein,ja
1451,23556478.705088,56459610.439988,Am Kümpchenshof / Maybachstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1452,23554910.098896,56458685.648091,Erftstraße / Maybachstraße / Hermann-Becker-Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1453,23554081.11819,56458797.434518,Erftstraße / Spichernstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1416,23553162.950262,56454529.055298,Kaiser-Wilhelm-Ring / Bismarckstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1417,23552716,56452359,Hohenzollernring / Friesenplatz / Im Klapperhof / Magnusstraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1418,23552239.130201,56450047.766598,Hohenzollernring / Maastrichter Straße / Limburger Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1421,23551995.450817,56445804.969184,Habsburgerring / Hohenstaufenring / Lindenstraße / Schaafenstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1422,23552401.851519,56444062.331981,Hohenstaufenring / Beethovenstraße / Schaevenstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1455,23549136.63255,56453108.891014,Bismarckstraße / Brüsseler Straße,Stadt Köln,Innenstadt,nein,---,nein,nein
1457,23548573.869346,56444048.981083,Roonstraße / Lindenstraße / Mozartstraße,Stadt Köln,Innenstadt,nein,---,nein,ja
1458,23550298.645108,56442417.804516,Roonstraße / Beethovenstraße / Rathenauplatz,Stadt Köln,Innenstadt,nein,---,nein,ja
1462,23551293.642999,56452854.007626,Venloer Straße / Friesenplatz / Kamekestraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1464,23550251.325982,56453796.998749,Venloer Straße / Bismarckstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1465,23549642.291397,56454322.102726,Venloer Straße / Spichernstraße / Brüsseler Straße,Stadt Köln,Innenstadt,nein,---,nein,nein
1466,23547959.936316,56455741.429923,Venloer Straße / Hans-Böckler-Platz / Ludolf-Camphausen-Straße,Stadt Köln,Innenstadt,nein,---,nein,ja
1472,23547535.841763,56452106.349366,Vogelsanger Straße / Moltkestraße / Bismarckstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1473,23546333.2,56452675.6,Vogelsanger Straße / Ludolf-Camphausen-Straße / Schmalbeinstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1474,23547304.756219,56445320.401148,Roonstraße / Moltkestraße / Lützowstraße / Jülicher Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1475,23547226.769458,56442837.982823,Lindenstraße / Lützowstraße / Dasselstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1501,23552151.64396,56437789.505823,Luxemburger Straße / Trierer Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1502,23551842.024246,56437311.790263,Luxemburger Straße / Moselstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1503,23550376.86068,56435240.040536,Luxemburger Straße / Eifelwall / Luxemburger Wall,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,nein
1595,23566865.311052,56446676.846926,Heumarkt / Augustinerstraße / Gürzenichstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
1596,23565242.078865,56446253.588336,Cäcilienstraße / Augustinerstraße / Kleine Sandkaul,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1597,23563952.3,56445984.9,Cäcilienstraße / Hohe Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1598,23562529.686552,56445941.689446,Cäcilienstraße / An Sankt Agatha,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1599,23561805.751183,56446151.260505,Cäcilienstraße / Nord-Süd-Fahrt,Stadt Köln,Innenstadt,nein,---,nein,nein
1600,23561132.508672,56446278.718295,Cäcilienstraße / Antonsgasse,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1601,23559658.782177,56446406.72786,Cäcilienstraße / Kronengasse,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1602,23558889.688467,56446613.133676,Neumarkt Ost / Fleischmengergasse / TK Remagen,Stadt Köln,Innenstadt,ja - akustisch+taktil+LocID,---,ja,ja
1603,23557885.838826,56447591.57616,Neumarkt Nord / Richmodstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1604,23557510.183318,56446794.34585,Neumarkt / Remagen,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1605,23556660.967108,56446999.009052,Neumarkt West / Hahnenstraße / Im Laach,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1606,23555521.472294,56447078.396849,Hahnenstraße / Apostelnkloster / Marsilstein,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1607,23554389.940539,56447058.397597,Hahnenstraße / Benesisstraße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,nein
1608,23552689.44309,56446851.415873,Hahnenstraße / Pilgrimstraße,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1609,23551831.244835,56447769.900201,Hohenzollernring / Aachener Straße / Rudolfplatz,Stadt Köln,Innenstadt,nein,---,nein,nein
1610,23551889.881701,56446628.787656,Habsburgerring / Richard-Wagner-Straße,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1611,23550932.188019,56447905.546978,Aachener Straße / Händelstraße / Brabanter Straße,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1612,23550341.927916,56446678.76624,Richard-Wagner Straße / Händelstraße,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1613,23548824.331604,56447991.317904,Aachener Straße / Brüsseler Straße,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1614,23548735.18911,56446784.170739,Richard-Wagner-Straße / Brüsseler Straße,Stadt Köln,Innenstadt,ja - taktil,---,nein,nein
1615,23547415.722118,56448047.635114,Aachener Straße / Moltkestraße,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1616,23547357.36204,56446859.247345,Richard-Wagner-Straße / Moltkestraße,Stadt Köln,Innenstadt,ja - taktil,---,nein,ja
1617,23544861.560281,56447985.460211,Aachener Straße / Aachener Weiher / Richard-Wagner-Straße,Stadt Köln,Innenstadt,ja - akustisch+taktil,---,nein,ja
1389,23553598.945756,56431649.748593,Höninger Weg / Eifelstraße / Eifelwall,Stadt Köln,Innenstadt,nein,---,nein,ja
1801,23589802.982743,56447104.344595,Deutz-Kalker-Straße / Deutzer Ring,Stadt Köln,Innenstadt,nein,---,nein,nein
1871,23589495.655461,56445945.124872,Deutzer Ring / Gießener Straße,Stadt Köln,Innenstadt,nein,---,nein,nein
1872,23587076.057952,56441810.954885,Deutzer Ring / Kannebäckerstraße,Stadt Köln,Innenstadt,nein,---,nein,nein
2003,23567616.487322,56418948.841571,Bonner Straße / Brühler Straße / Schönhauser Straße / Marktstraße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2004,23567960.772031,56416613.376969,Bonner Straße / Mathiaskirchplatz,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2005,23568245.23654,56414750.642195,Bonner Straße / Cäsarstraße / Schule,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2006,23568563.56743,56412736.436245,Bonner Straße / Annastraße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2007,23568844.316894,56410929.889112,Bonner Straße / Bayenthalgürtel / Raderberggürtel,Stadt Köln,Rodenkirchen,ja - taktil,---,nein,nein
2008,23569462.483031,56407135.379493,Bonner Straße / Gaedestraße / Marienburger Straße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2009,23569798.260559,56404368.993466,Bonner Straße / Leyboldstraße / Sinziger Straße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2010,23570300.674467,56400828.346081,Bonner Straße / Lindenallee / Heidekaul,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2020,23565842.5103,56415458.756049,Brühler Straße / Rheinsteinstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2023,23563345.488605,56411117.51693,Brühler Straße / Raderthalgürtel / Raderberggürtel,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2024,23561165.330323,56407333.740807,Brühler Straße / Markusstraße / Urfelder Straße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2025,23558760.67103,56403245.883648,Brühler Straße / Truppenamt,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2027,23541162.602657,56364364.068382,Brühler Landstraße / Schulstraße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2028,23540764.6,56363509.7,Brühler Landstraße / Alte Köln Straße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2029,23539826.95575,56362572.169984,Brühler Landstraße / Auf dem Rosenhügel / Kindergarten / Am Magerhof,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2030,23538171.849193,56359272.272842,Brühler Landstraße / Auf der Ronne / Alte Brühler Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2039,23558059.88947,56425945.761627,Vorgebirgstraße / Bischofsweg,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2040,23557103.309002,56423683.214355,Vorgebirgstraße / Am Vorgebirgstor,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2041,23556023.098736,56421013.43208,Vorgebirgstraße / Herthastraße / Homburger Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2042,23555792.194188,56418559.259576,Vorgebirgstraße / Gottesweg / Zollstockweg,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2043,23555657.4,56416303.3,Vorgebirgstraße / Bodendorfer Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2044,23555527.991674,56413342.685257,Vorgebirgstraße / Roisdorfer Straße / Schwalbacher Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2045,23555439.246364,56412218.578416,Vorgebirgstraße / Zollstockgürtel / Raderthalgürtel,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2049,23551782.017138,56426981.64282,Pohligstraße / Berlin-Kölnische Allee / Weyerstraßerweg,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2060,23548679.188801,56415152.228062,Zollstockgürtel / Neuer Weyerstraßerweg / Bernkasteler Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2061,23551293.880042,56413479.879062,Zollstockgürtel / Kalscheurer Weg,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2062,23558347.2,56411769.8,Raderthalgürtel / Leichweg / Schule,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2063,23561605.806641,56411275.32904,Raderthalgürtel / Raderthaler Straße / Wender,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2064,23565451.348878,56411056.882297,Raderberggürtel / Deutsche Welle / Schule / Wender,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2065,23567551,56410966.5,Raderberggürtel / Mertener Straße / Schule,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2066,23572105.538799,56411352.59561,Bayenthalgürtel / Schillerstraße / Goethestraße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2067,23573738.560399,56411795.495162,Bayenthalgürtel / Goltsteinstraße / Pferdmengesstraße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2070,23571485.930453,56420892.764635,Alteburger Straße / Schönhauser Straße / Goltsteinstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2071,23570955.493356,56420644.171919,Koblenzer Straße / Schönhauser Straße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2074,23582655.521737,56407180.174914,Oberländer Ufer / Militärringstraße / Heinrich-Lübke-Ufer,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2078,23565306.511695,56381928.381925,Rodenkirchener Straße / Lerchenweg / Adlerstraße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2103,23593340,56393710,Weißer Straße / Siegfriedstraße / Grimmelshausenstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2105,23597068.118117,56389063.225337,Weißer Straße / Grüngürtelstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2106,23603205.604963,56384701.146788,Weißer Straße / Hammerschmidtstraße / Adolf-Menzel-Straße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2107,23612010.245403,56376808.580773,Heinrichstraße / Müller-Armack-Straße / Schule,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2111,23587871.905497,56394930.563629,Ringstraße / Schillingsrotter Straße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2115,23592997.297702,56387627.767368,Sürther Straße / Moselstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
